ONET_SOC_CODE,TASK_ID,TASK,TASK_TYPE,TASK_CLASSIFICATION,TASK_CLASSIFICATION_SCORE
11-1011.03,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,remote,0.7608587145805359
11-1011.03,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,remote,0.8006040453910828
11-1011.03,15369,Conduct risk assessments related to sustainability and the environment.,Core,remote,0.8241320252418518
11-1021.00,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,remote,0.8379285931587219
11-1021.00,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,remote,0.8281035423278809
11-1021.00,20700,Direct administrative activities directly related to making products or providing services.,Core,non-remote,0.5572503805160522
11-1021.00,20701,Prepare staff work schedules and assign specific duties.,Core,remote,0.8367647528648376
11-1021.00,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,remote,0.8405475616455078
11-1021.00,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,non-remote,0.9102675318717957
11-1021.00,20705,"Perform personnel functions, such as selection, training, or evaluation.",Core,remote,0.8773202896118164
11-1021.00,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,remote,0.5824950337409973
11-1021.00,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,remote,0.7865910530090332
11-1021.00,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,remote,0.8095692992210388
11-1021.00,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,remote,0.8597936034202576
11-1021.00,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,non-remote,0.7055694460868835
11-1021.00,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,remote,0.7870374917984009
11-1021.00,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,remote,0.5318836569786072
11-1021.00,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,remote,0.7194690704345703
11-1021.00,949,Plan store layouts or design displays.,Supplemental,remote,0.7562761902809143
11-1021.00,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,remote,0.7803145051002502
11-1031.00,15267,Analyze and understand the local and national implications of proposed legislation.,,remote,0.584353506565094
11-1031.00,15268,"Appoint nominees to leadership posts, or approve such appointments.",,remote,0.7939465045928955
11-1031.00,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,,remote,0.8914082050323486
11-1031.00,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,non-remote,0.6793691515922546
11-1031.00,15271,Develop expertise in subject matters related to committee assignments.,,remote,0.7332627177238464
11-1031.00,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,remote,0.6649293303489685
11-1031.00,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,non-remote,0.9144263863563538
11-1031.00,15274,Maintain knowledge of relevant national and international current events.,,remote,0.7149924039840698
11-1031.00,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,remote,0.6780726313591003
11-1031.00,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,remote,0.6988218426704407
11-1031.00,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,remote,0.7002859115600586
11-1031.00,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,,non-remote,0.5130057334899902
11-1031.00,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",,remote,0.6984047889709473
11-1031.00,15280,"Review bills in committee, and make recommendations about their future.",,remote,0.66676926612854
11-1031.00,15281,Seek federal funding for local projects and programs.,,remote,0.5627833008766174
11-1031.00,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",,remote,0.7013503909111023
11-1031.00,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",,remote,0.5518633723258972
11-1031.00,15284,"Write, prepare, and deliver statements for the Congressional Record.",,non-remote,0.5208909511566162
11-1031.00,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",,remote,0.5150917768478394
11-1031.00,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",,remote,0.8534186482429504
11-1031.00,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",,remote,0.87880939245224
11-1031.00,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",,remote,0.819312334060669
11-1031.00,15289,Encourage and support party candidates for political office.,,remote,0.6807788610458374
11-1031.00,15290,"Establish personal offices in local districts or states, and manage office staff.",,non-remote,0.5767483711242676
11-1031.00,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies.",,remote,0.7652385830879211
11-1031.00,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",,remote,0.6946588158607483
11-1031.00,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",,remote,0.724144458770752
11-1031.00,15294,Promote the industries and products of their electoral districts.,,remote,0.6074379086494446
11-1031.00,15295,"Represent their government at local, national, and international meetings and conferences.",,remote,0.7749103307723999
11-1031.00,15296,Speak to students to encourage and support the development of future political leaders.,,remote,0.6046981811523438
11-2011.00,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,remote,0.782576858997345
11-2011.00,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,remote,0.8301100730895996
11-2011.00,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,remote,0.9384968280792236
11-2011.00,3242,Coordinate with the media to disseminate advertising.,Core,remote,0.8300386667251587
11-2011.00,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,remote,0.8231655955314636
11-2011.00,3238,Plan and execute advertising policies and strategies for organizations.,Core,remote,0.7911084294319153
11-2011.00,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,remote,0.8620384931564331
11-2011.00,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,remote,0.7275395393371582
11-2011.00,3243,Contact organizations to explain services and facilities offered.,Core,remote,0.8366979360580444
11-2011.00,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,remote,0.860209584236145
11-2011.00,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,remote,0.8225948214530945
11-2011.00,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,remote,0.8375654220581055
11-2011.00,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,non-remote,0.5463746190071106
11-2011.00,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,remote,0.7646710872650146
11-2011.00,3228,Prepare and negotiate advertising and sales contracts.,Supplemental,remote,0.8134297132492065
11-2011.00,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,remote,0.7425194978713989
11-2011.00,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,remote,0.6792740225791931
11-2011.00,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,remote,0.5305100679397583
11-2011.00,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,remote,0.5908657312393188
11-2011.00,3245,Represent company at trade association meetings to promote products.,Supplemental,remote,0.7446986436843872
11-2011.00,3244,Direct and coordinate product research and development.,Supplemental,remote,0.8126722574234009
11-2011.00,21217,Analyze marketing or sales trends to forecast future conditions.,,remote,0.897243082523346
11-2011.00,21218,Analyze the effectiveness of marketing tactics or channels.,,remote,0.8286941647529602
11-2011.00,21219,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",,remote,0.8219264149665833
11-2011.00,21220,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",,remote,0.8306135535240173
11-2011.00,21221,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",,remote,0.8689778447151184
11-2011.00,21222,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",,remote,0.7732162475585938
11-2011.00,21223,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",,remote,0.6384583711624146
11-2011.00,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",,remote,0.7477675676345825
11-2011.00,21225,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",,remote,0.8261851072311401
11-2021.00,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,remote,0.8099603056907654
11-2021.00,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,remote,0.8480348587036133
11-2021.00,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,remote,0.8467117547988892
11-2021.00,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,remote,0.691581130027771
11-2021.00,957,Compile lists describing product or service offerings.,Core,remote,0.8716289401054382
11-2021.00,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,remote,0.8183057904243469
11-2021.00,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Core,remote,0.7611085176467896
11-2021.00,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,remote,0.8226466774940491
11-2021.00,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,remote,0.7384376525878906
11-2021.00,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,remote,0.8339819312095642
11-2021.00,963,"Initiate market research studies, or analyze their findings.",Core,remote,0.8685140013694763
11-2021.00,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,remote,0.826146125793457
11-2021.00,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,remote,0.7307958006858826
11-2021.00,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,remote,0.7813858985900879
11-2021.00,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,remote,0.8974210023880005
11-2021.00,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,remote,0.767370879650116
11-2021.00,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,remote,0.8119491338729858
11-2021.00,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,remote,0.7452251315116882
11-2021.00,19503,Develop business cases for environmental marketing strategies.,Supplemental,remote,0.7650628089904785
11-2021.00,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,remote,0.8054351210594177
11-2022.00,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",Core,remote,0.826717734336853
11-2022.00,1,Resolve customer complaints regarding sales and service.,Core,remote,0.8596686124801636
11-2022.00,5,Review operational records and reports to project sales and determine profitability.,Core,remote,0.796460747718811
11-2022.00,14,Oversee regional and local sales managers and their staffs.,Core,remote,0.8388643264770508
11-2022.00,4,Determine price schedules and discount rates.,Core,remote,0.8827800750732422
11-2022.00,9,Prepare budgets and approve budget expenditures.,Core,remote,0.7843217849731445
11-2022.00,2,Monitor customer preferences to determine focus of sales efforts.,Core,remote,0.8917367458343506
11-2022.00,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,remote,0.6833693981170654
11-2022.00,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",Core,remote,0.8183143734931946
11-2022.00,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Core,non-remote,0.802445650100708
11-2022.00,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Core,remote,0.7484469413757324
11-2022.00,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,remote,0.9028622508049011
11-2022.00,10,Represent company at trade association meetings to promote products.,Core,remote,0.7446986436843872
11-2022.00,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",Supplemental,remote,0.832635760307312
11-2022.00,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,remote,0.7670552730560303
11-2022.00,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Supplemental,remote,0.6377670764923096
11-2022.00,16,Direct foreign sales and service outlets of an organization.,Supplemental,remote,0.6878817081451416
11-2032.00,21226,"Assign, supervise, and review the activities of public relations staff.",,remote,0.8263332843780518
11-2032.00,21227,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,,remote,0.6523612141609192
11-2032.00,21228,"Design and edit promotional publications, such as brochures.",,remote,0.7875756025314331
11-2032.00,21229,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",,remote,0.6037397980690002
11-2032.00,21230,"Develop, implement, or maintain crisis communication plans.",,remote,0.701772153377533
11-2032.00,21231,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",,remote,0.5889625549316406
11-2032.00,21232,Draft speeches for company executives and arrange interviews and other forms of contact for them.,,remote,0.6675636768341064
11-2032.00,21233,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",,remote,0.7512288689613342
11-2032.00,21234,Evaluate advertising and promotion programs for compatibility with public relations efforts.,,remote,0.7964620590209961
11-2032.00,21235,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",,remote,0.6254963874816895
11-2032.00,21236,"Formulate policies and procedures related to public information programs, working with public relations executives.",,remote,0.7700808644294739
11-2032.00,21237,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",,remote,0.6539378762245178
11-2032.00,21238,Maintain company archives.,,remote,0.675629734992981
11-2032.00,21239,Manage communications budgets.,,remote,0.7777150869369507
11-2032.00,21240,Manage in-house communication courses.,,non-remote,0.7089540362358093
11-2032.00,21241,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",,remote,0.7008522748947144
11-2032.00,21242,"Observe and report on social, economic, and political trends that might affect employers.",,remote,0.8294128775596619
11-2032.00,21243,"Produce films and other video products, regulate their distribution, and operate film library.",,remote,0.8525530099868774
11-2032.00,21244,Respond to requests for information about employers' activities or status.,,remote,0.8955150842666626
11-2032.00,21245,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",,remote,0.8522435426712036
11-2033.00,21246,"Assign, supervise, and review the activities of fundraising staff.",,remote,0.8393781781196594
11-2033.00,21247,Compile or develop materials to submit to granting or other funding organizations.,,remote,0.7714976668357849
11-2033.00,21248,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",,remote,0.8061666488647461
11-2033.00,21249,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",,remote,0.7898638248443604
11-2033.00,21250,"Design and edit promotional publications, such as brochures.",,remote,0.7875756025314331
11-2033.00,21251,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,,remote,0.7903205156326294
11-2033.00,21252,Develop strategies to encourage new or increased contributions.,,remote,0.7123174071311951
11-2033.00,21253,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",,remote,0.542731761932373
11-2033.00,21254,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",,remote,0.726959764957428
11-2033.00,21255,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",,remote,0.7590681314468384
11-2033.00,21256,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,,remote,0.8004887104034424
11-2033.00,21257,Formulate policies and procedures related to fundraising programs.,,remote,0.7008916735649109
11-2033.00,21258,Manage fundraising budgets.,,remote,0.758185088634491
11-2033.00,21259,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",,remote,0.7536134123802185
11-2033.00,21260,"Produce films and other video products, regulate their distribution, and operate film library.",,remote,0.8525530099868774
11-2033.00,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",,remote,0.8529037833213806
11-3012.00,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,remote,0.8167872428894043
11-3012.00,20,Set goals and deadlines for the department.,Core,remote,0.7052257657051086
11-3012.00,23,"Acquire, distribute and store supplies.",Core,remote,0.8288769721984863
11-3012.00,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,remote,0.7329925894737244
11-3012.00,30,Conduct classes to teach procedures to staff.,Core,remote,0.7290672063827515
11-3012.00,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,remote,0.745823085308075
11-3012.00,26,Hire and terminate clerical and administrative personnel.,Supplemental,remote,0.6415039300918579
11-3012.00,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",Supplemental,remote,0.7613019943237305
11-3012.00,21262,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",,remote,0.9185728430747986
11-3012.00,21263,Develop operational standards and procedures for the work unit or department.,,remote,0.6910840272903442
11-3012.00,21264,Establish work procedures or schedules to organize the daily work of administrative staff.,,remote,0.7907364368438721
11-3012.00,21265,Learn to operate new office technologies as they are developed and implemented.,,remote,0.8203742504119873
11-3012.00,21266,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.",,remote,0.7892762422561646
11-3012.00,21267,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.",,non-remote,0.648565411567688
11-3012.00,21268,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",,remote,0.8697950839996338
11-3012.00,21269,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.",,non-remote,0.7691678404808044
11-3012.00,21270,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.,,remote,0.7609229683876038
11-3012.00,21271,Supervise administrative staff and provide training and orientation to new staff.,,remote,0.7993930578231812
11-3013.00,21276,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",Core,remote,0.8187605738639832
11-3013.00,21278,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",Core,remote,0.7778122425079346
11-3013.00,21277,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",Core,remote,0.7653712630271912
11-3013.00,21280,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Core,remote,0.745823085308075
11-3013.00,21279,"Participate in architectural and engineering planning and design, including space and installation management.",Core,remote,0.7685397267341614
11-3013.00,21282,Set goals and deadlines for the department.,Core,remote,0.7052257657051086
11-3013.00,21273,Conduct classes to teach procedures to staff.,Core,remote,0.7290672063827515
11-3013.00,21281,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,remote,0.8167872428894043
11-3013.00,21272,"Acquire, distribute and store supplies.",Core,remote,0.8288769721984863
11-3013.00,21274,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",Core,remote,0.7764748930931091
11-3013.00,21275,Manage leasing of facility space.,Supplemental,remote,0.7095780372619629
11-3013.01,21283,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",,remote,0.8376230001449585
11-3013.01,21284,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,,remote,0.7827041745185852
11-3013.01,21285,"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations.",,remote,0.5143173336982727
11-3013.01,21286,"Communicate security status, updates, and actual or potential problems, using established protocols.",,remote,0.9104453325271606
11-3013.01,21287,Conduct physical examinations of property to ensure compliance with security policies and regulations.,,non-remote,0.9861534833908081
11-3013.01,21288,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",,remote,0.7839171886444092
11-3013.01,21289,"Coordinate security operations or activities with public law enforcement, fire and other agencies.",,remote,0.8275914788246155
11-3013.01,21290,"Create or implement security standards, policies, and procedures.",,remote,0.7050414085388184
11-3013.01,21291,Develop budgets for security operations.,,remote,0.6743143796920776
11-3013.01,21292,"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews.",,remote,0.7459253668785095
11-3013.01,21293,"Develop, arrange for, perform, or assess executive protection activities to reduce security risks.",,remote,0.8215891122817993
11-3013.01,21294,"Develop, conduct, support, or assist in governmental reviews, internal corporate evaluations, or assessments of the overall effectiveness of facility and personnel security processes.",,remote,0.7001848220825195
11-3013.01,21295,"Develop, implement, manage, or evaluate policies and methods to protect personnel against harassment, threats, or violence.",,remote,0.6584292650222778
11-3013.01,21296,"Develop, recommend, or manage security procedures for operations or processes, such as security call centers, access control, and reporting tools.",,remote,0.8005261421203613
11-3013.01,21297,Direct or participate in emergency management and contingency planning.,,remote,0.7257885932922363
11-3013.01,21298,"Identify, investigate, or resolve security breaches.",,remote,0.8458970189094543
11-3013.01,21299,"Monitor and ensure a sound, ethical environment.",,remote,0.7980947494506836
11-3013.01,21300,"Monitor security policies, programs or procedures to ensure compliance with internal security policies, or applicable government security requirements, policies, and directives.",,remote,0.798542320728302
11-3013.01,21301,Plan security for special and high-risk events.,,remote,0.6942951679229736
11-3013.01,21302,"Plan, direct, or coordinate security activities to safeguard company employees, guests, or others on company property.",,remote,0.6867267489433289
